파괴석 조각,2,
파괴석,2,
파괴석 결정,8,
파괴강석,26,
수호석 조각,1,
수호석,1,
수호석 결정,1,
수호강석,1,
조화의 파편 주머니(소),145,
생명의 파편 주머니(소),180,
명예의 파편 주머니(소),183,
하급 오레하 융화 재료,12,
조화의 파편 주머니(중),283,
생명의 파편 주머니(중),394,
명예의 파편 주머니(중),370,
중급 오레하 융화 재료,15,
칼다르 융화 재료,2,
조화의 파편 주머니(대),480,
생명의 파편 주머니(대),520,
명예의 파편 주머니(대),579,
상급 오레하 융화 재료,29,
@,@,
